,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,COLLECT FROM,co2 LBS
177,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1143.06096
178,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
179,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
180,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
181,WASHINGTON,MARELLI UK LTD,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
182,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
183,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1176.15096
184,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1176.15096
185,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,4.76496
186,JARROW,J BARBOUR & SONS,SOUTH SHIELDS,SOUTH SHIELDS,4.76496
187,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,4.76496
188,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,796.27776
189,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,796.27776
190,PONTEFRACT,YORKSHIRE XDC,SOUTH SHIELDS,SOUTH SHIELDS,796.27776
191,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1062.58608
192,DARLINGTON,ALDI DARLINGTON,Leeds,Leeds,1062.58608
193,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1062.58608
194,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1062.58608
195,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,384.37344
196,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS,384.37344
197,HARTLEPOOL,CLEVELAND WASTE PAPER,SOUTH SHIELDS,SOUTH SHIELDS,384.37344
198,STOCKTON/BIRTLEY,BATLEYS CASH& CARRY STOCKTON /,SOUTH SHIELDS,CFX BRANSTON TRADE TEAM,640.8871200000001
199,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,640.8871200000001
200,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,640.8871200000001
201,WASHINGTON,SMITHERS OASIS UK LTD,SOUTH SHIELDS,SOUTH SHIELDS,994.0236
202,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,994.0236
203,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,994.0236
204,WORKINGTON,GERALD SHOTTON WORKINGTON,LEEDS,SOUTH SHIELDS,1234.12464
205,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1234.12464
206,RUFFORTH,HAREWOOD WHIN,SOUTH SHIELDS,SOUTH SHIELDS,1013.08344
207,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1013.08344
208,BRISTOL,NISBETS,SOUTH SHIELDS,SOUTH SHIELDS,965.69856
209,GATESHEAD,BESTWAY CASH AND CARRY,SOUTH SHIELDS,CFX BRANSTON TRADE TEAM,1149.94368
210,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1149.94368
211,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1149.94368
212,SOUTH KIRKBY,RINGTONS,SOUTH SHIELDS,LONGBENTON,1149.94368
213,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,985.81728
214,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,985.81728
215,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,985.81728
216,WASHINGTON,ASDA ADC WASHINGTON,SOUTH SHIELDS,RUGBY,985.81728
217,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,985.81728
218,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,985.81728
219,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1450.6656
220,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1450.6656
221,LEEDS,NORTHERN CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1450.6656
222,LEEDS,NORTHERN CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1450.6656
223,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,1450.6656
224,CANNOCK-40FT,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1450.6656
225,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1450.6656
226,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1191.24
227,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1191.24
228,NOTTINGHAM,BOOTS NOTTINGHAM,SOUTH SHIELDS,SOUTH SHIELDS,1191.24
229,NOTTINGHAM,BOOTS - D6 NORTH WAREHOUSE,SOUTH SHIELDS,NOTTINGHAM,1191.24
230,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1191.24
231,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1191.24
232,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1036.11408
233,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1036.11408
234,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1036.11408
235,BRISTOL,NISBETS,SOUTH SHIELDS,SOUTH SHIELDS,1036.11408
236,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1712.47368
237,BROOKENBY MARKET RASEN,CLASSIC FURNITURE,LEEDS,SOUTH SHIELDS,1712.47368
238,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,1712.47368
239,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1712.47368
240,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1712.47368
241,NEWTON AYCLIFFE,LIDL UK,SOUTH SHIELDS,PRESTON,1141.20792
242,CRAMLINGTON,CMP PRODUCTS LIMITED,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
243,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
244,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
245,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
246,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
247,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1141.20792
248,WORKSOP,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS,1764.3588000000002
249,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1764.3588000000002
250,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1764.3588000000002
251,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1764.3588000000002
252,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
253,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
254,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
255,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
256,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
257,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
258,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1600.76184
259,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1600.76184
260,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1051.73256
261,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
262,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
263,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
264,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
265,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
266,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1536.43488
267,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1536.43488
268,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,SOUTH SHIELDS,1079.52816
269,SOUTH SHIELDS,HARLOW PRINT,SOUTH SHIELDS,SOUTH SHIELDS,1079.52816
270,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SOUTH SHIELDS,1079.52816
271,FELLING,LANCHESTER WINES,SOUTH SHIELDS,SOUTH SHIELDS,751.27536
272,FELLING,LANCHESTER WINES,SOUTH SHIELDS,SOUTH SHIELDS,751.27536
273,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,751.27536
274,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
275,GATESHEAD,INTERNATIONAL PAINT LTD,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
276,BOLDON,NIPPON EXPRESS WAREHOUSE,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
277,GATESHEAD,INTERNATIONAL PAINT LTD,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
278,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
279,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1359.0724800000005
280,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,1359.0724800000005
281,JARROW,J BARBOUR & SONS,SOUTH SHIELDS,SOUTH SHIELDS,1385.01504
282,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1385.01504
283,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1385.01504
284,WASHINGTON,VANTEC EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS,1073.17488
285,FELLING,International Paint Ltd,SOUTH SHIELDS,SOUTH SHIELDS,1073.17488
286,SUNDERLAND,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,SOUTH SHIELDS,1073.17488
287,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1073.17488
288,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1073.17488
289,PETERBOROUGH,ANGLIA HOME FURNISHINGS,LEEDS,SOUTH SHIELDS,1676.47176
290,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,1676.47176
291,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1676.47176
292,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,1676.47176
293,PETERBOROUGH,ANGLIA HOME FURNISHINGS,LEEDS,SOUTH SHIELDS,1365.1610400000002
294,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,1365.1610400000002
295,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,FELIXSTOWE,458.23032
296,CANNOCK-40FT,PENTALVER CANNOCK,SOUTH SHIELDS,SOUTH SHIELDS,458.23032
297,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,CANNOCK,458.23032
298,CALDICOT,WILKINSON - DC2,SOUTH SHIELDS,SOUTH SHIELDS,32.82528
299,TEESPORT,TESCO LIMITED (MIDDLESBROUGH),SOUTH SHIELDS,SMETHWICK,32.82528
300,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,794.9541600000001
301,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,794.9541600000001
302,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,794.9541600000001
303,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,794.9541600000001
304,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,794.9541600000001
305,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,794.9541600000001
306,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,SOUTH SHIELDS,951.93312
307,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,EAGLESCLIFFE,951.93312
308,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,SHED NO 20 - VANTEC,951.93312
309,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,951.93312
310,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1375.48512
311,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,1375.48512
312,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1375.48512
313,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1375.48512
314,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1375.48512
315,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1375.48512
316,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,OLDBURY,1656.08832
317,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1656.08832
318,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1656.08832
319,BEDLINGTON,HODGES RECYCLING,SOUTH SHIELDS,SOUTH SHIELDS,432.55248
320,CARLISLE,HESPIN WOOD WASTE MANAGEMENT,SOUTH SHIELDS,SOUTH SHIELDS,432.55248
321,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,SOUTH SHIELDS,15.8832
322,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1069.4688
323,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1069.4688
324,TEESPORT,TEESPORT,SOUTH SHIELDS,TEESPORT,1069.4688
325,CARLISLE,HESPIN WOOD WASTE MANAGEMENT,SOUTH SHIELDS,SOUTH SHIELDS,1069.4688
326,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,OLDBURY,1232.2716
327,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1232.2716
328,MIDDLESBROUGH,CLEVELAND CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS,1232.2716
329,TEESPORT,TEESPORT,SOUTH SHIELDS,TEESPORT,1232.2716
330,WORKSOP,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS,1311.1581600000002
331,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,996.14136
332,LEEDS,NORCON,SOUTH SHIELDS,LEEDS,996.14136
333,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,996.14136
334,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,996.14136
335,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,1684.4133600000002
336,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1684.4133600000002
337,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1684.4133600000002
338,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,OLDBURY,1551.78864
339,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1131.4132800000002
340,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1131.4132800000002
341,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1431.60576
342,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,1431.60576
343,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,841.01544
344,BATHGATE,CONTAINER WORLD,BATHGATE,SOUTH SHIELDS,841.01544
345,HARTLEPOOL,J&B RECYCLING,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
346,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
347,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS,841.01544
348,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
349,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
350,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,WALKER,949.55064
351,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,949.55064
352,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1575.34872
353,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,1575.34872
354,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,1575.34872
355,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,833.868
356,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS,833.868
357,DARLINGTON,ALDI DARLINGTON,Leeds,SOUTH SHIELDS,833.868
